PLAYER	TEAM	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	EFF
1	Joel Embiid	PHI	65	34.7	33.3	11.1	20.2	54.7	1.0	3.0	32.8	10.1	11.8	85.9	1.7	8.5	10.2	4.2	1.0	1.7	3.4	36.1
2	Luka Doncic	DAL	64	36.5	32.8	11.0	22.2	49.8	2.8	8.2	34.7	7.8	10.6	74.2	0.8	7.8	8.7	8.1	1.4	0.5	3.7	33.9
3	Damian Lillard	POR	58	36.3	32.2	9.6	20.7	46.3	4.2	11.3	37.1	8.8	9.6	91.4	0.8	4.0	4.8	7.3	0.9	0.3	3.3	30.2
4	Shai Gilgeous-Alexander	OKC	67	35.5	31.5	10.4	20.3	51.2	0.9	2.4	35.0	9.9	10.9	90.8	0.9	4.0	4.8	5.4	1.7	1.0	2.9	30.6
5	Giannis Antetokounmpo	MIL	63	32.1	31.1	11.2	20.3	55.3	0.7	2.7	27.5	7.9	12.3	64.5	2.2	9.6	11.8	5.7	0.8	0.8	3.9	32.9
6	Jayson Tatum	BOS	73	37.2	30.2	9.9	21.2	46.5	3.3	9.3	35.2	7.2	8.4	85.5	1.1	7.8	8.8	4.6	1.1	0.7	2.9	30.0
7	Donovan Mitchell	CLE	68	35.8	28.3	10.0	20.6	48.4	3.6	9.3	38.6	4.7	5.4	86.7	0.9	3.3	4.3	4.4	1.5	0.4	2.6	24.8
8	Kyrie Irving	DAL	59	37.2	27.0	9.9	20.0	49.3	3.1	8.2	37.4	4.2	4.6	90.4	1.0	4.1	5.1	5.5	1.1	0.8	2.1	26.7
9	Jaylen Brown	BOS	66	35.8	26.7	10.1	20.5	49.3	2.5	7.2	33.9	4.0	5.2	76.9	1.2	5.6	6.8	3.4	1.1	0.4	2.9	23.9
10	Ja Morant	MEM	60	32.1	26.4	9.4	20.1	46.5	1.5	5.0	30.8	6.2	8.2	75.2	1.0	4.8	5.9	8.1	1.1	0.3	3.4	25.6
11	Trae Young	ATL	71	34.6	26.2	8.3	19.2	42.9	2.1	6.3	33.8	7.6	8.5	88.6	0.8	2.2	3.0	9.9	1.1	0.1	4.0	24.3
12	Lauri Markkanen	UTA	66	34.4	25.6	8.7	17.3	49.9	3.0	7.7	39.1	5.3	6.0	87.5	2.0	6.7	8.6	1.9	0.6	0.6	1.9	26.0
13	Julius Randle	NYK	77	35.5	25.1	8.5	18.6	45.9	2.8	8.3	34.3	5.2	6.9	75.7	1.8	8.1	10.0	4.1	0.6	0.3	2.8	25.6
14	De'Aaron Fox	SAC	71	33.6	25.1	9.4	18.2	51.4	1.6	5.0	32.7	4.7	6.1	77.6	0.5	3.7	4.2	6.1	1.2	0.3	2.5	24.2
15	Zach LaVine	CHI	75	36.1	25.1	8.8	18.1	48.8	2.7	7.1	38.0	4.8	5.6	84.8	0.6	3.9	4.5	4.2	0.9	0.2	2.6	22.3
16	DeMar DeRozan	CHI	72	36.4	24.9	9.0	17.7	50.7	0.6	1.9	32.8	6.3	7.2	87.1	0.5	4.2	4.7	5.1	1.1	0.5	2.1	24.5
17	Nikola Jokic	DEN	68	33.8	24.8	9.5	15.0	63.3	0.8	2.2	38.5	5.0	6.1	82.1	2.5	9.4	11.9	9.8	1.3	0.7	3.6	38.3
18	Anthony Edwards	MIN	77	36.1	24.5	8.9	19.4	45.9	2.7	7.3	36.8	4.0	5.3	76.3	0.5	5.2	5.7	4.5	1.5	0.7	3.3	21.9
19	Pascal Siakam	TOR	69	37.5	24.2	8.9	18.6	47.8	1.3	4.1	32.5	5.2	6.7	76.9	1.9	6.0	7.9	5.9	0.9	0.5	2.4	25.7
20	Jalen Brunson	NYK	68	35.0	24.0	8.6	17.6	49.1	2.0	4.7	41.6	4.8	5.8	82.9	0.6	3.0	3.5	6.2	0.9	0.2	2.1	22.9
21	Paul George	LAC	56	34.6	23.8	8.2	17.9	45.7	2.8	7.6	37.1	4.6	5.3	87.1	0.8	5.3	6.1	5.1	1.5	0.4	3.1	23.3
22	Kristaps Porzingis	WAS	65	32.6	23.2	7.8	15.7	49.8	2.1	5.5	38.5	5.4	6.4	85.1	1.8	6.6	8.4	2.7	0.9	1.5	2.1	25.7
23	Jimmy Butler	MIA	63	33.5	22.9	7.5	13.9	53.7	0.6	1.6	35.0	7.4	8.7	85.1	2.2	3.7	5.9	5.3	1.9	0.3	1.6	26.9
24	Jalen Green	HOU	74	34.3	22.2	7.5	17.9	41.6	2.5	7.3	33.7	4.8	6.1	78.8	0.6	3.2	3.8	3.7	0.8	0.2	2.7	16.2
25	Keldon Johnson	SAS	62	32.8	22.0	8.0	17.6	45.3	2.1	6.4	33.3	3.9	5.2	74.7	0.9	4.2	5.0	2.9	0.7	0.2	2.1	17.7
26	Klay Thompson	GSW	67	33.2	21.8	7.9	18.2	43.3	4.3	10.6	40.7	1.7	1.9	87.7	0.6	3.6	4.2	2.4	0.7	0.4	1.8	17.2
27	Darius Garland	CLE	69	35.5	21.6	7.6	16.4	46.2	2.4	6.0	41.0	4.0	4.7	86.3	0.4	2.3	2.7	7.8	1.2	0.1	2.9	21.1
28	Bojan Bogdanovic	DET	59	32.1	21.6	7.3	14.9	48.8	2.5	6.0	41.1	4.5	5.1	88.4	0.6	3.2	3.8	2.6	0.6	0.1	2.3	18.1
29	Desmond Bane	MEM	56	31.6	21.6	7.8	16.2	48.0	2.9	7.0	41.0	3.2	3.6	88.5	0.7	4.3	5.0	4.3	1.0	0.4	2.2	21.2
30	Kyle Kuzma	WAS	64	35.0	21.2	8.0	17.8	44.8	2.5	7.5	33.3	2.7	3.7	73.0	0.9	6.4	7.2	3.7	0.6	0.5	3.0	19.4
31	Terry Rozier	CHA	63	35.3	21.1	7.8	18.9	41.5	2.6	8.0	32.7	2.8	3.5	80.9	0.8	3.3	4.1	5.1	1.2	0.3	2.1	17.9
32	James Harden	PHI	57	37.0	21.1	6.4	14.6	44.1	2.8	7.2	38.6	5.5	6.3	86.6	0.7	5.4	6.1	10.8	1.2	0.5	3.4	27.4
33	Anfernee Simons	POR	62	35.0	21.1	7.5	16.9	44.7	3.4	9.1	37.7	2.6	2.9	89.4	0.3	2.3	2.6	4.1	0.7	0.2	2.1	17.0
34	Jordan Clarkson	UTA	61	32.6	20.8	7.5	16.9	44.4	2.5	7.5	33.8	3.3	4.0	81.6	1.2	2.9	4.0	4.4	0.5	0.2	3.0	16.9
